,family_structure,location,gross_income,rate
88,1.0,0.0,0.34265697387826394,0.1123557764995938
289,0.0,1.0,0.4851107193346972,0.21458933214609419
308,0.0,1.0,0.1506746626686657,0.017922606924643585
237,0.0,1.0,0.5371685702290567,
271,0.0,1.0,0.28097324275206703,
32,0.0,0.0,0.29556749611708844,0.015100659537409106
187,0.0,1.0,0.5047147333242676,0.2358790529855549
15,0.0,0.0,0.38861075572543935,0.07326649833454688
235,0.0,1.0,0.382351129847621,0.2213688442321869
89,1.0,0.0,0.22246242546343253,0.008001156916707011
29,1.0,0.0,0.4167883388047716,0.1481224671384951
80,1.0,0.0,0.20404449053674134,
27,1.0,0.0,0.3849598277912313,0.11213149226910296
208,0.0,1.0,0.46005459254311676,0.2367061420651431
161,0.0,1.0,0.2550684898854253,0.15265308923399368
171,1.0,1.0,0.5576866102420932,
269,1.0,1.0,0.5969609004326903,0.3325869670808512
183,1.0,1.0,0.5088396452795854,0.2913777591258864
294,0.0,1.0,0.5707038663356916,0.2988599521460604
220,1.0,1.0,0.3262477296912365,0.22892472505513667
115,1.0,0.0,0.3251870600296279,0.08075853231453739
307,0.0,1.0,0.16416791604197906,0.012627291242362528
300,1.0,1.0,0.39007768842851304,
256,0.0,1.0,0.46565826806990546,0.2259137726055056
78,0.0,0.0,0.4005340942121069,0.06984937625349391
126,1.0,0.0,0.3210810240378229,
217,1.0,1.0,0.3877812638110847,
248,1.0,1.0,0.5214834908013009,
25,1.0,0.0,0.20167983536517953,0.016767025257496307
310,0.0,1.0,0.19340329835082465,
287,0.0,1.0,0.4466659751284552,0.259688080427824
47,0.0,0.0,0.387098177308079,0.06255205781095909
295,1.0,1.0,0.4146621106979187,
258,0.0,1.0,0.2168107833860166,0.1144854305220413
23,1.0,0.0,0.5473608495343738,0.11681812760030595
228,1.0,1.0,0.20540107125523543,0.1753139683687157
182,1.0,1.0,0.3231532494668965,0.28155401546886716
2,0.0,0.0,0.30547483960459315,-0.022425392404965952
138,1.0,0.0,0.22318798751761695,0.05141522432236276
206,0.0,1.0,0.428168128427997,0.20283743091607734
65,1.0,0.0,0.21072562284708193,0.011527766141988666
321,1.0,1.0,0.6791604197901051,
131,0.0,0.0,0.5605951659308519,0.05832914220761595
179,0.0,1.0,0.20179801089079172,0.13957667752945804
41,0.0,0.0,0.5422821618127193,
135,1.0,0.0,0.2840050010559456,0.02231875533976023
315,1.0,1.0,0.10044977511244381,0.06313645621181263
40,1.0,0.0,0.49646769348857767,0.08271653536390317
60,0.0,0.0,0.2904623227600139,
249,0.0,1.0,0.3750996129192432,0.20332730866914475
20,0.0,0.0,0.4959887882177077,0.09007683132494318
288,0.0,1.0,0.41394348832689,
170,1.0,1.0,0.29184990690587836,0.25672513509690054
293,0.0,1.0,0.5853211447982454,0.25794352726747505
173,1.0,1.0,0.39842478136395404,0.25228579750371655
221,0.0,1.0,0.4186503937434529,0.2121467457625149
162,0.0,1.0,0.22119168818860013,0.11276587270283969
36,0.0,0.0,0.49384028681641795,
149,1.0,0.0,0.3391588203503652,0.1263796847264923
203,1.0,1.0,0.4792686166609045,
74,1.0,0.0,0.39799248903723206,
110,0.0,0.0,0.5730994755940193,
276,1.0,1.0,0.21907621043308276,
185,1.0,1.0,0.4516412848185544,0.25715139454568975
111,1.0,0.0,0.41721948841104084,
108,1.0,0.0,0.4941274814345223,
216,1.0,1.0,0.4556502046855859,
286,1.0,1.0,0.21701749831957617,0.20319094568755808
148,1.0,0.0,0.5837479018489558,
75,0.0,0.0,0.23254312759715137,-0.004257470305417899
63,0.0,0.0,0.36571856971042327,0.04784554646156779
168,0.0,1.0,0.2014354934564863,0.16505978724087347
64,0.0,0.0,0.4686629454043881,0.05923899206137194
155,0.0,1.0,0.4955480367432988,0.29221012242433
53,1.0,0.0,0.4795178214628995,0.12352021135612272
52,0.0,0.0,0.3511351951429574,
247,0.0,1.0,0.38132536657525196,0.1766257599058328
81,1.0,0.0,0.2826148512123217,0.07091099401377887
118,1.0,0.0,0.2682954009728706,
129,1.0,0.0,0.3248664684527657,0.051924726331198656
125,0.0,0.0,0.38480843950149923,0.004323476945836832
227,1.0,1.0,0.31265426592342455,0.24147904640994253
164,1.0,1.0,0.41746270717441275,
92,0.0,0.0,0.3358473048526646,0.04963959588406583
299,1.0,1.0,0.24239333895411522,0.1943916551620618
90,1.0,0.0,0.22472470168702055,0.06091544357707465
313,0.0,0.0,0.3300224887556223,0.03665987780040734
7,1.0,0.0,0.5050185183293097,0.10410946352975266
263,1.0,1.0,0.5041783080750385,0.3430651192400759
189,0.0,1.0,0.4613746532797042,
290,0.0,1.0,0.3500149302932191,0.17438092251053341
104,0.0,0.0,0.2919293174371979,-0.031780742528002406
142,1.0,0.0,0.20843440787607947,0.08770175298700206
329,0.0,1.0,0.19147569072606557,0.04276985743380855
119,0.0,0.0,0.5083748215295998,0.08782767682681222
301,0.0,0.0,0.19227886056971516,
201,1.0,1.0,0.20043787213328598,0.2196191892274054
253,0.0,1.0,0.22045172381734035,0.1615036657217211
212,1.0,1.0,0.2680178638079799,
176,0.0,1.0,0.5102699679280681,0.2083630540386216
297,1.0,1.0,0.5270256367026314,
122,0.0,0.0,0.20611130953524537,0.03912974849486418
6,0.0,0.0,0.5793849242411095,
96,0.0,0.0,0.5905254871313186,0.15187716727647682
84,1.0,0.0,0.5924351427730105,0.14437218855610262
124,1.0,0.0,0.43289652293573366,0.1600281032332438
120,0.0,0.0,0.3208679621380974,0.029094548641943774
158,0.0,1.0,0.27073062495891753,0.14380566706371226
99,1.0,0.0,0.5775249050133274,0.15851220074248998
152,0.0,1.0,0.3556379610248871,0.1952446454029017
166,0.0,1.0,0.29578157292127166,
268,0.0,1.0,0.3542541155067375,
71,0.0,0.0,0.47341772176926794,0.035184895335199876
24,0.0,0.0,0.5073004506085272,0.12434486186408872
17,0.0,0.0,0.29278212038013296,
101,0.0,0.0,0.5450357425679319,0.13624270732966062
50,0.0,0.0,0.47106309199130736,
323,1.0,1.0,0.10794602698650678,0.06720977596741345
13,1.0,0.0,0.3027261185048948,0.061066885105323876
306,1.0,1.0,0.16135682158920545,0.04276985743380855
58,1.0,0.0,0.4326995639928076,0.14642627039275607
204,1.0,1.0,0.22998878200347173,0.16434769354529405
218,1.0,1.0,0.4555105345936036,0.28742607581305535
117,0.0,0.0,0.3866771730499191,0.038202777442247135
190,0.0,1.0,0.5256292548260645,0.2685047754710857
178,1.0,1.0,0.47860074452487267,0.3006814870332992
57,1.0,0.0,0.4658140457174667,0.09322381416763995
246,1.0,1.0,0.3799805468958337,
259,0.0,1.0,0.23532896370268502,0.16760291640069722
35,1.0,0.0,0.5188604432522639,0.1802186643710065
239,1.0,1.0,0.28055905521744445,0.25552078999543393
283,1.0,1.0,0.21178070793046833,
327,0.0,0.0,0.22730942221197098,
11,1.0,0.0,0.49261705452268034,0.14489173087689877
238,1.0,1.0,0.39980482687538466,0.23239443333226267
163,0.0,1.0,0.42017839260662,0.22227489019929453
316,1.0,1.0,0.23163418290854576,1.0
94,1.0,0.0,0.39329495777760226,
326,1.0,1.0,0.045202398800599716,0.012537678207739312
62,0.0,0.0,0.5734429466204733,
46,0.0,0.0,0.3925310369072338,0.09811401276175408
215,0.0,1.0,0.3940571129680057,0.2088655509501843
18,1.0,0.0,0.2996956787819129,0.024924454495603987
266,1.0,1.0,0.27698833478700535,0.22508945289698645
72,1.0,0.0,0.3461622810006485,
296,0.0,1.0,0.42968686582657223,
193,0.0,1.0,0.22462545101386958,0.21005708019981517
16,0.0,0.0,0.2349383454413546,
9,1.0,0.0,0.20105776474402443,-0.013101734701425574
314,0.0,1.0,0.0,0.5193482688391039
167,0.0,1.0,0.4687042152365436,0.20422231923679166
106,1.0,0.0,0.3762797372052805,0.0855915020131206
26,0.0,0.0,0.3266071776152671,0.03395923766319062
160,1.0,1.0,0.5632677116558122,0.291754697909148
139,1.0,0.0,0.3293374156913819,0.06014584605519423
232,1.0,1.0,0.28315365867975933,
328,0.0,1.0,0.10312700792460915,
10,1.0,0.0,0.2632780633466555,0.10523644893274992
231,0.0,1.0,0.5947547315900259,0.29705656572165406
145,0.0,0.0,0.27691176508871945,-0.014506274589774784
186,1.0,1.0,0.4468947569934232,
244,1.0,1.0,0.5516504540587321,0.31316882897189907
320,0.0,1.0,0.08545727136431787,0.054989816700611
3,1.0,0.0,0.5233871217590167,0.16723898493534928
225,0.0,1.0,0.21123873942297916,0.11375322198951493
305,0.0,0.0,1.0000000000000002,0.09572301425661914
103,0.0,0.0,0.5531056036502094,0.07207803068234207
42,0.0,0.0,0.33487583365945506,0.050961986885255606
285,1.0,1.0,0.5355403097564704,0.31550706653293104
181,0.0,1.0,0.535726340236014,0.2528132546011455
298,1.0,1.0,0.44327976234269445,0.2589432579508456
73,0.0,0.0,0.5261330462909376,0.058246399199840024
205,1.0,1.0,0.2833020678074954,0.25349847902313105
127,1.0,0.0,0.31189725774116916,0.11052969873305846
1,1.0,0.0,0.42074246056112585,0.10632669641826803
141,1.0,0.0,0.49692115245633894,0.16334125670997185
49,1.0,0.0,0.4150020907444256,0.07179532884821899
37,0.0,0.0,0.5458411965736647,0.1147751293424466
274,0.0,1.0,0.3777753587841436,0.2550982688413017
